semester: Ganjil | kategori: Pengenalan Kampus | kegiatan: PKKMB dan Kuliah Umum | tanggal_mulai: 29 Juli 2026 | tanggal_selesai: 31 Juli 2026 | halaman: 3
semester: Ganjil | kategori: PMB Pascasarjana Gelombang 2 | kegiatan: Rapat Penentuan Kelulusan | tanggal_mulai: 29 Juni 2026 | tanggal_selesai: - | halaman: 2
semester: Ganjil | kategori: PMB Profesi | kegiatan: Rapat Penentuan Kelulusan | tanggal_mulai: 29 Juni 2026 | tanggal_selesai: - | halaman: 2
semester: Ganjil | kategori: Jalur SMM-PTN Barat | kegiatan: Pengumuman Kelulusan | tanggal_mulai: 30 Juni 2026 | tanggal_selesai: - | halaman: 1
semester: Ganjil | kategori: Perkuliahan dan Pembelajaran | kegiatan: Input Nilai Ujian Akhir Semester (UAS) | tanggal_mulai: 30-Nov-26 | tanggal_selesai: 10 Desember 2026 | halaman: 3
semester: Ganjil | kategori: Jalur Penerimaan SNBP | kegiatan: Pengumuman Kelulusan | tanggal_mulai: 31 Maret 2026 | tanggal_selesai: - | halaman: 1
semester: Genap | kategori: Kegiatan Kukerta dan Wisuda | kegiatan: Pendaftaran Wisuda | tanggal_mulai: Januari 2027 | tanggal_selesai: Desember 2027 | halaman: 5
semester: Genap | kategori: Kegiatan Akademik Lainnya | kegiatan: Pengukuhan Guru Besar | tanggal_mulai: Januari 2027 | tanggal_selesai: Desember 2027 | halaman: 5
semester: Genap | kategori: Evaluasi Mahasiswa | kegiatan: Penerbitan SK Rektor tentang Evaluasi Mahasiswa | tanggal_mulai: Juli 2027 | tanggal_selesai: - | halaman: 5
semester: Ganjil | kategori: Kukerta, Wisuda & Dies Natalis | kegiatan: Kuliah Kerja Nyata (KUKERTA) | tanggal_mulai: Juni 2026 | tanggal_selesai: Juli 2026 | halaman: 3
semester: Genap | kategori: Kegiatan Kukerta dan Wisuda | kegiatan: Pelaksanaan Kuliah Kerja Nyata (KUKERTA) | tanggal_mulai: Juni 2027 | tanggal_selesai: Juli 2027 | halaman: 5
